cliente,recencia,frequencia,valor_monetario,periodo,grupo
189148,30,7,227.252856,243,5
189151,30,13,141.28923,234,5
189155,2,5,97.624,243,5
189159,19,35,35.411999,243,1
189161,30,21,58.941904,242,1
189163,7,20,186.351999,230,1
189164,25,2,50.07,205,5
189167,40,8,47.4675,212,5
189170,12,2,40.33,237,5
189171,34,8,72.891249,238,5
189172,25,16,205.563749,241,1
189174,182,5,348.623999,241,3
189176,94,9,188.098888,238,5
189178,64,5,92.836,221,5
189180,128,2,57.565,238,3
189181,13,13,364.103076,239,5
189182,121,3,155.246666,243,3
189184,185,7,55.022856,229,3
189189,131,3,86.756666,241,3
189190,82,2,84.78,170,5
189192,101,8,74.53875,143,5
189193,23,12,83.801666,243,5
189194,24,2,163.22,203,5
189195,212,2,44.99,240,3
189197,168,9,24.297777,242,3
189198,243,1,27.51,243,3
189201,115,11,89.688181,237,5
189202,3,10,232.402999,218,5
189204,9,2,385.889999,217,5
189209,85,3,60.846666,220,5
189210,30,11,50.074545,241,5
189212,3,10,90.176999,212,5
189213,94,4,161.557499,224,5
189214,13,8,55.314999,243,5
189217,22,3,185.80333099999999,210,5
189221,28,6,180.901666,237,5
189225,87,10,230.378999,240,5
189226,25,11,13.730909,241,5
189229,62,3,335.959999,121,2
189230,178,7,8.977142,224,3
189231,38,24,94.889166,239,1
189232,6,6,491.261665,240,4
189233,2,15,122.571999,238,1
189234,203,2,130.669999,236,3
189236,215,1,330.899999,215,3
189239,66,1,86.78,66,2
189242,7,3,27.81,76,2
189245,200,3,153.426666,233,3
189248,21,1,203.83,21,2
189249,119,5,188.471999,240,5
189250,243,1,882.619998,243,4
189251,152,6,84.433333,241,3
189252,119,7,133.309998,202,5
189253,73,8,121.459999,227,5
189254,91,6,219.954999,208,5
189257,240,1,143.2,240,3
189259,121,4,104.1425,243,3
189260,2,20,71.003499,227,1
189263,7,3,143.493333,162,5
189273,119,2,110.41,243,3
189274,179,2,553.159998,243,4
189275,94,2,203.94,214,5
189276,2,22,20.68909,240,1
189278,129,2,30.52,141,3
189282,242,1,18.29,242,3
189284,211,1,632.56,211,4
189286,220,1,70.219999,220,3
189287,3,23,159.132172,241,1
189288,239,1,416.889997,239,3
189289,94,4,319.374999,164,4
189292,140,3,73.903333,224,3
189293,227,1,152.02,227,3
189294,227,1,61.66,227,3
189295,90,1,686.619997,90,4
189296,7,3,66.563333,210,5
189300,52,15,51.754666,242,1
189303,50,10,149.755999,241,5
189304,84,4,354.994999,179,4
189305,128,3,54.703333,204,3
189306,27,5,406.569999,206,4
189309,1,4,35.2225,235,5
189310,242,1,92.08,242,3
189312,44,11,75.697272,208,5
189313,40,19,149.389473,242,1
189314,84,5,13.446,227,5
189316,5,3,40.546666,180,5
189317,1,15,79.816666,240,1
189318,3,5,42.639999,238,5
189319,165,2,487.979998,166,4
189322,4,9,205.167777,239,5
189323,181,4,65.605,236,3
189324,39,6,100.324999,71,2
189325,232,2,137.704999,243,3
189326,24,10,178.812999,242,5
189327,227,3,92.44,234,3
189331,4,35,134.946285,242,1
189333,94,3,187.529999,229,5
189334,18,2,119.209999,168,5
189335,45,4,106.547498,225,5
189336,9,2,182.5,240,5
189338,61,8,140.613749,240,5
189339,37,5,275.745999,239,5
189340,8,39,201.899999,241,1
189341,38,11,207.442726,241,5
